,TeamName
0,Brentford
1,Man United
2,Burnley
3,Chelsea
4,Everton
5,Leicester
6,Watford
7,Norwich
8,Newcastle
9,Tottenham
10,Liverpool
11,Aston Villa
12,Crystal Palace
13,Leeds
14,Man City
15,Brighton
16,Southampton
17,Wolves
18,Arsenal
19,West Ham
20,Hull
21,Middlesbrough
22,Bournemouth
23,Stoke
24,Swansea
25,West Brom
26,Sunderland
27,Fulham
28,Huddersfield
29,Cardiff
30,Sheffield United
31,M'gladbach
32,Augsburg
33,Bielefeld
34,Stuttgart
35,Union Berlin
36,Wolfsburg
37,Dortmund
38,Mainz
39,FC Koln
40,RB Leipzig
41,Bochum
42,Ein Frankfurt
43,Freiburg
44,Greuther Furth
45,Hertha
46,Leverkusen
47,Hoffenheim
48,Bayern Munich
49,Hamburg
50,Schalke 04
51,Darmstadt
52,Ingolstadt
53,Werder Bremen
54,Fortuna Dusseldorf
55,Hannover
56,Nurnberg
57,Paderborn
58,Dresden
59,Hansa Rostock
60,Heidenheim
61,Sandhausen
62,St Pauli
63,Karlsruhe
64,Regensburg
65,Erzgebirge Aue
66,Holstein Kiel
67,Kaiserslautern
68,Magdeburg
69,Braunschweig
70,Munich 1860
71,Wurzburger Kickers
72,Duisburg
73,Osnabruck
74,Wehen
75,Monaco
76,Lyon
77,Troyes
78,Rennes
79,Bordeaux
80,Nice
81,St Etienne
82,Strasbourg
83,Metz
84,Montpellier
85,Lorient
86,Lille
87,Paris SG
88,Angers
89,Brest
90,Clermont
91,Nantes
92,Reims
93,Lens
94,Marseille
95,Bastia
96,Caen
97,Dijon
98,Nancy
99,Toulouse
100,Guingamp
101,Amiens
102,Nimes
103,Valencia
104,Cadiz
105,Mallorca
106,Alaves
107,Osasuna
108,Celta
109,Barcelona
110,Sevilla
111,Villarreal
112,Elche
113,Betis
114,Espanol
115,Granada
116,Ath Bilbao
117,Sociedad
118,Ath Madrid
119,Levante
120,Getafe
121,Vallecano
122,Real Madrid
123,Ayr
124,Cove Rangers
125,Dundee
126,Hamilton
127,Inverness C
128,La Coruna
129,Malaga
130,Sp Gijon
131,Eibar
132,Leganes
133,Las Palmas
134,Girona
135,Valladolid
136,Huesca
137,Inter
138,Verona
139,Empoli
140,Torino
141,Bologna
142,Udinese
143,Napoli
144,Roma
145,Cagliari
146,Sampdoria
147,Atalanta
148,Lazio
149,Fiorentina
150,Juventus
151,Genoa
152,Sassuolo
153,Milan
154,Salernitana
155,Spezia
156,Venezia
157,Chievo
158,Palermo
159,Pescara
160,Crotone
161,Parma
162,Frosinone
163,Spal
164,Benevento
165,Lecce
166,Brescia
